Frame ID,ArUco ID,Left-Up X,Left-Up Y,Right-Up X,Right-Up Y,Right-Down X,Right-Down Y,Left-Down X,Left-Down Y,Distance,Yaw,Pitch,Roll
274,0,408.0,63.0,467.0,59.0,472.0,119.0,415.0,123.0,0.6448816778979365,-0.050705581915330096,0.048088266881897795,-2.511206234389603
275,0,412.0,31.0,470.0,27.0,473.0,86.0,415.0,90.0,0.6545805914455888,-0.04847694310563061,0.046564787346578866,-3.10952951930474
288,0,228.0,27.0,288.0,23.0,294.0,83.0,236.0,87.0,0.6831590646547858,-0.09793409265069508,-0.06743481681801285,-3.0441110371833675
289,0,122.0,12.0,187.0,8.0,195.0,68.0,131.0,74.0,0.6734623852698092,-0.14191333738147124,-0.13278258829541031,3.1321036696327287
309,0,681.0,56.0,746.0,55.0,745.0,118.0,681.0,117.0,0.6213232359155683,0.02270852637716703,0.06163943504592964,3.0924158548864784
317,1,615.0,84.0,640.0,88.0,637.0,114.0,611.0,112.0,1.4627004666244618,0.09227494908859403,-0.06889939724575052,-2.991390381733953
318,1,672.0,99.0,698.0,103.0,694.0,129.0,669.0,126.0,1.4697537581882398,0.11182717110706637,-0.06315867549439666,-3.077413033128878
319,1,702.0,120.0,727.0,122.0,724.0,149.0,698.0,146.0,1.497674157467332,0.09362658276788174,-0.01263486164473363,-3.017844207318411
320,1,705.0,120.0,732.0,123.0,728.0,151.0,702.0,151.0,1.3670238857834294,0.004135115602841388,-0.15382451554191426,-2.8922696590888624
321,1,712.0,116.0,740.0,118.0,736.0,147.0,708.0,144.0,1.4001770022720845,0.2837349971151152,0.49800876880870976,-2.5392799008115463
322,1,737.0,115.0,765.0,116.0,762.0,145.0,735.0,143.0,1.4141077347331608,0.3192877362170899,0.641945399817761,-2.4843377484777913
323,1,752.0,111.0,781.0,113.0,778.0,142.0,750.0,141.0,1.3756791138406441,0.04508043099070032,-0.02063444123087294,-3.042417143788189
324,1,725.0,92.0,752.0,93.0,750.0,123.0,721.0,123.0,1.3647255240940126,-0.007400218892056482,-0.07394224131316829,-2.890376628525813
325,1,688.0,106.0,714.0,107.0,712.0,136.0,684.0,136.0,1.379412225637605,-0.013546214891051062,-0.09792405066192414,-2.8485527536030832
326,1,658.0,88.0,686.0,90.0,684.0,121.0,656.0,119.0,1.2911201965963877,0.006032738821059628,-0.16843416024841845,-3.001072603049608
327,1,657.0,92.0,686.0,94.0,683.0,124.0,654.0,123.0,1.319712239042421,0.04879005491895906,-0.01008028461380272,-2.9466891219809805
328,1,669.0,80.0,699.0,82.0,696.0,114.0,667.0,113.0,1.2544766087227959,0.00024595491871987686,-0.12844078698118416,-2.945251916723765
329,1,663.0,75.0,694.0,77.0,691.0,109.0,661.0,108.0,1.248360129472535,0.026009799027845015,-0.058143602556821626,-2.97863766211732
330,1,643.0,73.0,674.0,76.0,671.0,109.0,640.0,107.0,1.201974093575,0.03791510142857247,-0.10659028663676344,-2.9852693096982548
